video_id,polarity,title,channel_title,category_id,tags
video_id,0.0,title,channel_title,category_id,tags
r4RfsfD6ZhM,0.07,iPhone leaks (YIAY #355),jacksfilms,23,jacksfilms|yiay|iphone|2017|iphone 8|iphone x|apple
F2uJvwiSZAQ,0.030612244897959183,How 9/11 changed Disney's Lilo & Stitch,Vox,25,vox.com|vox|explain|lilo and stitch|september 11|disney|lilo and stitch 911|disney 911|twin towers lilo and stitch|how 911 changed lilo and stitch|september 11 lilo and stitch|pop culture 911|pop culture response 911|september 11 pop culture
12fphklmFzk,0.17,"Asuka is coming to Raw: Raw, Sept. 11, 2017",WWE,17,wwe|world wrestling entertainment|wrestling|wrestler|wrestle|superstars|कुश्ती|पहलवान|डब्लू डब्लू ई|मैच|सुपरस्टार|व्यावसायिक कुश्ती|مصارعه|Raw|Asuka|#RAW|sp:ty=high|sp:st=wrestling|sp:scp=athlete_in_match|sp:dt=2017-09-11T20:00:00-04:00|sp:ev=wwe-raw|sp:ath=wwe-asuka|coming|nxt|wwe raw|wwe nxt|wwe 2017|women|Asuka Raw|Asuka main roster|main roster|call up
X0U8Awfizoc,0.31313131313131315,I Tried The Wavy Lips Trend?,grav3yardgirl,26,beauty|how to|makeup|howto|style|fashion|summer|spring|new|clothes|clothing|bunny|2017|makeup trend|makeup trends|wavy|wavy eyebrow|wavy eyebrows|strange makeup|omg|laugh|funny|buzzfeed|first impression|first impression friday|wavy lips|lips|lipstick
AM60_0WmYJ8,0.21649484536082475,"Arsenal 3-0 Bournemouth | It's Only One Game, I'm Still Not Confident (DT)",ArsenalFanTV,17,Arsenal F.C.|Arsenal Fan TV|aftv|afc|Fans|Football|Soccer|Goal|Kieran Gibbs|Aaron Ramsey|Highlights|Ozil|Mesut Ozil|epl|Goals|A.F.C.|Alexis Sanchez|Arsene Wenger|Theo Walcott|Arsenal|The Gunners|Gooners|Olivier Giroud|Hector Bellerin|Nacho Monreal|Shkodran Mustafi|laurent koscielny|alex oxlade-chamberlain|Granit Xhaka|Alexandre Lacazette|bournemouth
Zwq-gx1nvR8,0.0,Asa Soltan Rahmati Talks About Her Late Friend Chester Bennington | Shahs of Sunset | WWHL,Watch What Happens Live with Andy Cohen,24,What What Happens live|reality|interview|fun|celebrity|Andy Cohen|talk|show|program|Bravo|Watch What Happens Live|WWHL|bravo andy|Watch|What|Happens|Asa Soltan Rahmati|Chester Bennington|Late Friend|Friend|Shahs of Sunset|Shahs|news|death|husband|Jermaine Jackson Jr.|wife|fans|passed away|Chester Benington’s death|friends|Asa|Chester Bennington death|shahs wwhl|bravo shows|plead the fifth|#shahs|after show|full episodes|bravo late night|wwhl caller
dPvmKeEpzWk,0.25,ATOMEGA - Announcement Trailer | Ubisoft (US),Ubisoft US,20,ATOMEGA|atomega|multiplayer|multi|first person shooter|FPS|shooter|indie game|indie|great soundtrack|soundtrack|Atmospheric|Sci-Fi|Retro|Reflections|Little A|Grow Home|Grow Up|grow|overcharge|snack|break
U2CqZNd6rgM,0.43,Welcome to JURASSIC FALLS!,Brave Wilderness,15,adventure|adventurous|animals|brave|brave wilderness|breaking trail|coyote|coyote peterson|coyotes backyard|dragon tails|peterson|trail|wild|wildlife|dinosaurs|jurassic park|jurassic world|t rex|jurassic|dino|living dinosaur|the lost world|jurassic falls|welcome to jurassic falls|devinsupertramp|manawaiopuna falls|helicopter|na pali coast|island helicopters|waimea canyon|helicopter tour|jurassic park 4|jurassic park movie|jurassic park trailer|adrenaline
jG2Qf-DIofk,0.3402061855670103,U2: You're the Best Thing About Me,The Tonight Show Starring Jimmy Fallon,23,The Tonight Show|Jimmy Fallon|NBC|NBC TV|Television|Funny|Talk Show|comedic|humor|snl|Fallon Stand-up|Fallon monologue|tonight|show|jokes|funny video|interview|variety|comedy sketches|talent|celebrities|video|clip|highlight|music|musical performance|the roots|U2|rock|alternative rock|songs of experience
